"id","created_at","updated_at","ScheduleTitle","location","when","ScheduleType_id"
50,"2023-04-03 05:09:38.212489+00","2023-04-03 05:09:38.212511+00","2023 BLACKPINK ""Ready To Be"" 5th World Tour","South Korea, Australia, Japan, the US, Canada","2023-04-15 09:00:00+00",87
51,"2023-04-03 05:13:46.246119+00","2023-04-03 05:13:46.246151+00","BLACKPINK ""BORN PINK"" World Tour","Mexico, Singapore, Thailand, Australia","2023-04-26 09:00:00+00",88
52,"2023-04-03 05:19:46.880597+00","2023-04-03 05:20:08.209573+00","빌보드 차트 100","미국","2023-04-03 05:19:45+00",11
53,"2023-04-03 05:21:47.587413+00","2023-04-03 05:21:47.587433+00","3rd Single Album : 'I feel'","melon chart","2023-04-12 05:30:00+00",13
54,"2023-04-03 05:22:48.023845+00","2023-04-03 05:22:48.023866+00","Pre-release Single Album ""Chili chocolate""","Melon chart","2023-04-14 05:30:00+00",12
55,"2023-04-03 05:23:48.583629+00","2023-04-03 05:23:48.58366+00","Collaboration Song ""Expectations""","Gaon Stage","2023-04-25 21:00:00+00",21
56,"2023-04-03 05:25:01.047076+00","2023-04-03 05:25:01.047106+00","Digital Single ""Eyes On Me""","YG","2023-04-01 09:00:00+00",52
57,"2023-04-03 05:25:34.735758+00","2023-04-03 05:25:34.735776+00","Solo Debut ""ME""","YG","2023-03-31 21:00:00+00",55
58,"2023-04-03 05:26:06.512587+00","2023-04-03 05:26:06.512605+00","2nd Mini Album ""DELIGHT""","YG","2023-04-02 21:00:00+00",54
59,"2023-04-03 05:26:44.678367+00","2023-04-03 05:26:44.678398+00","1st Single ""ACT 1, SCENE 1""","SM-Town","2023-04-10 21:00:00+00",53
60,"2023-04-03 05:27:37.566908+00","2023-04-03 05:27:37.566926+00","1st Full Album ""Sour & Sweet""","SM-Town","2023-04-17 05:27:35+00",50
61,"2023-04-03 18:16:58.233939+00","2023-04-03 18:16:58.233956+00","V-app Live","YG","2023-04-09 06:00:00+00",89
62,"2023-04-03 18:31:47.032023+00","2023-04-03 18:31:47.032041+00","Youtube BlackPink :: WorldTour Pre Tour","YG","2023-04-13 21:00:00+00",90
63,"2023-04-03 18:40:49.67226+00","2023-04-03 18:40:49.67228+00","Youtube [ Stage Practice ]","Practice Room","2023-04-18 21:00:00+00",90
64,"2023-04-03 18:54:09.897559+00","2023-04-03 18:54:09.897582+00","InterView :: What makes Blackpink attractive?","YG","2023-04-05 07:00:00+00",91
65,"2023-04-03 19:03:10.79664+00","2023-04-03 19:03:10.796657+00","Instagram","SNS","2023-04-02 04:13:00+00",92
66,"2023-04-03 19:06:20.894568+00","2023-04-03 19:06:20.894584+00","MusicBank TV Show","Gaon Stage","2023-04-08 06:00:00+00",93
67,"2023-04-03 19:13:41.289108+00","2023-04-03 19:13:41.289125+00","JiSu SOLO TV Show","SBS","2023-04-09 06:50:00+00",94
68,"2023-04-03 19:14:35.023595+00","2023-04-03 19:14:35.023611+00","JiSu SOLO TV Show","SBS","2023-04-16 06:50:00+00",94
69,"2023-04-03 19:20:39.936508+00","2023-04-03 19:23:17.832694+00","BrandMeeting","Paris","2023-04-05 09:00:00+00",95
