"id","Girl_group","Boy_group","idol_solo","idol_name_kr","idol_name_en","idol_profile","idol_anniv","idol_birthday","idol_gender"
79,NULL,"BTS",NULL,"뷔","V","https://image.kpopmap.com/2018/09/BTS-V-Profile-Photo-update.jpg","2013-06-13","1995-12-30","Man"
80,NULL,"BTS","BoySolo","정국","JK","https://image.kpopmap.com/2018/09/JK_Profile02.jpg","2013-06-13","1997-09-01","Man"
81,NULL,"BTS",NULL,"진","Jin","https://image.kpopmap.com/2018/09/BTS-Jin-Profile-Photo-update.jpg","2013-06-13","1992-12-04","Man"
82,NULL,"BTS",NULL,"슈가","Sugar","https://image.kpopmap.com/2018/09/BTS-Suga-Profile-Photo-update-1.jpg","2013-06-13","1993-03-09","Man"
83,NULL,"BTS","BoySolo","제이홉","J-Hope","https://image.kpopmap.com/2018/09/J-Hope-070522.jpg","2013-06-13","1994-02-18","Man"
84,NULL,"BTS",NULL,"지민","Jimin","https://image.kpopmap.com/2018/09/BTS-Jimin-Profile-Update.jpg","2013-06-13","1995-10-13","Man"
85,NULL,"BTS",NULL,"RM","RM","https://image.kpopmap.com/2018/09/RM_Profile01.jpg","2013-06-13","1994-09-12","Man"
86,NULL,"EXO",NULL,"카이","Kai","https://image.kpopmap.com/2019/03/exo-dont-fight-the-feeling-member-profile-Kai.jpg","2012-04-08","1994-01-14","Man"
87,NULL,"EXO",NULL,"수호","SuHo","https://image.kpopmap.com/2019/03/SuHo_profile_s_0220.jpg","2012-04-08","1991-05-22","Man"
88,NULL,"EXO","BoySolo","첸","Chen","https://image.kpopmap.com/2019/03/EXO-Chen-111722.jpg","2012-04-08","1992-09-21","Man"
89,NULL,"EXO","BoySolo","시우민","XiuMin","https://image.kpopmap.com/2019/03/EXO-XiuMin-091922.jpg","2012-04-08","1990-03-26","Man"
90,NULL,"EXO",NULL,"찬열","ChanYeol","https://image.kpopmap.com/2019/03/exo-dont-fight-the-feeling-member-profile-ChanYeol.jpg","2012-04-08","1992-11-27","Man"
91,NULL,"EXO",NULL,"디오","DO","https://image.kpopmap.com/2019/03/do_profile_s_0216.jpg","2012-04-08","1993-01-12","Man"
92,NULL,"EXO",NULL,"레이","Lay","https://image.kpopmap.com/2019/03/EXO-Lay.jpg","2012-04-08","1991-10-07","Man"
93,NULL,"EXO","BoySolo","백현","BaekHyun","https://image.kpopmap.com/2019/03/exo-dont-fight-the-feeling-member-profile-BaekHyun.jpg","2012-04-08","1992-05-06","Man"
94,NULL,"EXO",NULL,"세훈","SeHun","https://image.kpopmap.com/2019/03/exo-dont-fight-the-feeling-member-profile-https://image.kpopmap.com/2019/03/exo-dont-fight-the-feeling-member-profile-sehun.jpg.jpg","2012-04-08","1994-04-12","Man"
95,NULL,"HIGH_LIGHT",NULL,"윤두준","Yoon_dujun","https://image.kpopmap.com/2019/02/Yoon_dujun_profile_s_0214.jpg","2017-03-20","1989-07-04","Man"
96,NULL,"HIGH_LIGHT",NULL,"이기광","GiKwang.","https://image.kpopmap.com/2019/02/Highlight-GiKwang.jpg","2017-03-20","1990-03-30","Man"
97,NULL,"HIGH_LIGHT",NULL,"손동운","DongWoon.","https://image.kpopmap.com/2019/02/Highlight-DongWoon.jpg","2017-03-20","1991-06-06","Man"
98,NULL,"HIGH_LIGHT",NULL,"양요섭","YoSeob","https://image.kpopmap.com/2019/02/Highlight-YoSeob.jpg","2017-03-20","1990-01-05","Man"
